agent_a,agent_b,seed,a_side,outcome,reward_a,reward_b,status_a,status_b,seconds
enders_1000,exit_v2_exit_a100_000020,20001,1,a,1,-1,DONE,DONE,20.7
enders_1000,exit_v2_exit_embed256_last,20000,0,a,1,-1,DONE,DONE,33.0
enders_1000,exit_v2_exit_embed256_last,20001,1,a,1,-1,DONE,DONE,21.6
ow_proto,reinforce_958,20001,1,a,1,-1,DONE,DONE,38.8
ow_proto,reinforce_958,20000,0,a,1,-1,DONE,DONE,52.0
shot_validator_hybrid,reinforce_958,20000,0,a,1,-1,DONE,DONE,436.8
shot_validator_hybrid,reinforce_958,20001,1,b,-1,1,DONE,DONE,348.4
ow_proto,exit_v2_exit_a100_000020,20000,0,a,1,-1,DONE,DONE,52.5
ow_proto,exit_v2_exit_embed256_last,20000,0,a,1,-1,DONE,DONE,66.1
ow_proto,exit_v2_exit_a100_000020,20001,1,b,-1,1,DONE,DONE,114.8
shot_validator_hybrid,exit_v2_exit_a100_000020,20001,1,b,-1,1,DONE,DONE,445.0
enders_1000,apex,20001,1,a,1,-1,DONE,DONE,362.0
ow_proto,apex,20000,0,a,1,-1,DONE,DONE,249.8
enders_1000,apex,20000,0,b,-1,1,DONE,DONE,392.5
shot_validator_hybrid,exit_v2_exit_embed256_last,20000,0,b,-1,1,DONE,DONE,475.1
reinforce_958,apex,20000,0,a,1,-1,DONE,DONE,121.2
reinforce_958,exit_v2_exit_a100_000020,20001,1,b,-1,1,DONE,DONE,47.3
reinforce_958,exit_v2_exit_a100_000020,20000,0,a,1,-1,DONE,DONE,89.5
shot_validator_hybrid,exit_v2_exit_embed256_last,20001,1,b,-1,1,DONE,DONE,535.2
ow_proto,exit_v2_exit_embed256_last,20001,1,b,-1,1,DONE,DONE,199.6
reinforce_958,exit_v2_exit_embed256_last,20001,1,a,1,-1,DONE,DONE,97.4
apex,exit_v2_exit_a100_000020,20000,0,a,1,-1,DONE,DONE,90.5
exit_v2_exit_a100_000020,exit_v2_exit_embed256_last,20000,0,b,-1,1,DONE,DONE,31.1
reinforce_958,exit_v2_exit_embed256_last,20000,0,b,-1,1,DONE,DONE,192.2
exit_v2_exit_a100_000020,exit_v2_exit_embed256_last,20001,1,b,-1,1,DONE,DONE,114.8
ow_proto,apex,20001,1,a,1,-1,DONE,DONE,492.5
reinforce_958,apex,20001,1,b,-1,1,DONE,DONE,327.0
apex,exit_v2_exit_a100_000020,20001,1,a,1,-1,DONE,DONE,229.5
shot_validator_hybrid,apex,20001,1,a,1,-1,DONE,DONE,855.7
apex,exit_v2_exit_embed256_last,20001,1,b,-1,1,DONE,DONE,296.4
apex,exit_v2_exit_embed256_last,20000,0,b,-1,1,DONE,DONE,316.4
producer,ow_proto,20005,1,a,1,-1,DONE,DONE,5.2
producer,ow_proto,20002,0,a,1,-1,DONE,DONE,7.3
producer,ow_proto,20003,1,a,1,-1,DONE,DONE,7.5
producer,ow_proto,20004,0,a,1,-1,DONE,DONE,8.2
producer,ow_proto,20006,0,a,1,-1,DONE,DONE,7.8
producer,ow_proto,20009,1,a,1,-1,DONE,DONE,5.8
producer,ow_proto,20008,0,a,1,-1,DONE,DONE,7.0
producer,ow_proto,20007,1,a,1,-1,DONE,DONE,9.0
producer,ow_proto,20011,1,a,1,-1,DONE,DONE,9.3
producer,ow_proto,20013,1,a,1,-1,DONE,DONE,7.6
producer,ow_proto,20012,0,a,1,-1,DONE,DONE,10.0
producer,ow_proto,20010,0,a,1,-1,DONE,DONE,11.8
producer,ow_proto,20014,0,a,1,-1,DONE,DONE,8.9
producer,ow_proto,20015,1,a,1,-1,DONE,DONE,9.0
producer,ow_proto,20017,1,a,1,-1,DONE,DONE,10.0
producer,ow_proto,20016,0,a,1,-1,DONE,DONE,11.0
producer,ow_proto,20018,0,a,1,-1,DONE,DONE,8.9
producer,ow_proto,20019,1,a,1,-1,DONE,DONE,9.8
producer,ow_proto,20020,0,a,1,-1,DONE,DONE,9.5
producer,ow_proto,20021,1,a,1,-1,DONE,DONE,12.7
producer,ow_proto,20023,1,a,1,-1,DONE,DONE,5.6
producer,ow_proto,20022,0,a,1,-1,DONE,DONE,7.4
producer,ow_proto,20025,1,a,1,-1,DONE,DONE,7.8
producer,ow_proto,20026,0,a,1,-1,DONE,DONE,8.7
producer,ow_proto,20027,1,a,1,-1,DONE,DONE,8.9
producer,ow_proto,20024,0,a,1,-1,DONE,DONE,12.9
producer,ow_proto,20028,0,a,1,-1,DONE,DONE,7.9
producer,enders_1000,20003,1,a,1,-1,DONE,DONE,6.3
producer,enders_1000,20002,0,a,1,-1,DONE,DONE,7.9
producer,ow_proto,20029,1,a,1,-1,DONE,DONE,10.1
producer,enders_1000,20005,1,a,1,-1,DONE,DONE,5.3
producer,enders_1000,20004,0,a,1,-1,DONE,DONE,8.5
producer,enders_1000,20007,1,a,1,-1,DONE,DONE,5.6
producer,enders_1000,20006,0,a,1,-1,DONE,DONE,9.2
producer,enders_1000,20008,0,a,1,-1,DONE,DONE,6.9
producer,enders_1000,20009,1,a,1,-1,DONE,DONE,9.1
producer,enders_1000,20010,0,a,1,-1,DONE,DONE,12.4
producer,enders_1000,20011,1,a,1,-1,DONE,DONE,11.6
producer,enders_1000,20012,0,a,1,-1,DONE,DONE,11.4
producer,enders_1000,20013,1,a,1,-1,DONE,DONE,8.2
producer,enders_1000,20014,0,a,1,-1,DONE,DONE,9.0
producer,enders_1000,20015,1,a,1,-1,DONE,DONE,8.6
producer,enders_1000,20016,0,a,1,-1,DONE,DONE,9.3
producer,enders_1000,20017,1,a,1,-1,DONE,DONE,10.3
producer,enders_1000,20018,0,a,1,-1,DONE,DONE,10.3
producer,enders_1000,20019,1,a,1,-1,DONE,DONE,9.9
producer,enders_1000,20020,0,a,1,-1,DONE,DONE,9.3
producer,enders_1000,20021,1,a,1,-1,DONE,DONE,9.0
producer,enders_1000,20022,0,a,1,-1,DONE,DONE,9.0
producer,enders_1000,20023,1,a,1,-1,DONE,DONE,11.0
producer,enders_1000,20024,0,a,1,-1,DONE,DONE,10.6
producer,enders_1000,20025,1,a,1,-1,DONE,DONE,9.3
producer,enders_1000,20026,0,a,1,-1,DONE,DONE,8.4
producer,enders_1000,20027,1,a,1,-1,DONE,DONE,12.2
producer,enders_1000,20029,1,a,1,-1,DONE,DONE,9.8
producer,enders_1000,20028,0,a,1,-1,DONE,DONE,14.0
producer,tamrazov_1224,20002,0,a,1,-1,DONE,DONE,29.4
producer,tamrazov_1224,20003,1,a,1,-1,DONE,DONE,32.3
producer,tamrazov_1224,20004,0,b,-1,1,DONE,DONE,43.4
producer,tamrazov_1224,20005,1,a,1,-1,DONE,DONE,58.7
producer,tamrazov_1224,20007,1,a,1,-1,DONE,DONE,41.8
producer,tamrazov_1224,20008,0,a,1,-1,DONE,DONE,38.0
producer,tamrazov_1224,20006,0,a,1,-1,DONE,DONE,70.5
producer,tamrazov_1224,20009,1,a,1,-1,DONE,DONE,36.6
producer,tamrazov_1224,20011,1,a,1,-1,DONE,DONE,21.5
producer,tamrazov_1224,20010,0,a,1,-1,DONE,DONE,40.4
producer,tamrazov_1224,20013,1,a,1,-1,DONE,DONE,35.2
producer,tamrazov_1224,20012,0,a,1,-1,DONE,DONE,41.2
producer,tamrazov_1224,20014,0,a,1,-1,DONE,DONE,33.3
producer,tamrazov_1224,20015,1,a,1,-1,DONE,DONE,40.9
producer,tamrazov_1224,20017,1,a,1,-1,DONE,DONE,43.7
producer,tamrazov_1224,20016,0,a,1,-1,DONE,DONE,49.4
producer,tamrazov_1224,20018,0,a,1,-1,DONE,DONE,57.7
producer,tamrazov_1224,20019,1,a,1,-1,DONE,DONE,40.7
producer,tamrazov_1224,20020,0,a,1,-1,DONE,DONE,30.2
producer,tamrazov_1224,20023,1,a,1,-1,DONE,DONE,30.4
producer,tamrazov_1224,20021,1,a,1,-1,DONE,DONE,49.4
producer,tamrazov_1224,20022,0,a,1,-1,DONE,DONE,42.2
producer,tamrazov_1224,20024,0,a,1,-1,DONE,DONE,41.2
producer,tamrazov_1224,20025,1,a,1,-1,DONE,DONE,45.3
producer,tamrazov_1224,20027,1,a,1,-1,DONE,DONE,37.2
producer,tamrazov_1224,20026,0,a,1,-1,DONE,DONE,66.9
producer,tamrazov_1224,20028,0,a,1,-1,DONE,DONE,44.9
producer,tamrazov_1224,20029,1,a,1,-1,DONE,DONE,45.1
producer,distance_1100,20003,1,a,1,-1,DONE,DONE,25.1
producer,distance_1100,20002,0,a,1,-1,DONE,DONE,60.4
producer,distance_1100,20004,0,a,1,-1,DONE,DONE,47.3
producer,distance_1100,20005,1,a,1,-1,DONE,DONE,33.7
producer,distance_1100,20007,1,a,1,-1,DONE,DONE,22.9
producer,distance_1100,20006,0,a,1,-1,DONE,DONE,48.9
producer,distance_1100,20008,0,a,1,-1,DONE,DONE,44.3
producer,distance_1100,20010,0,a,1,-1,DONE,DONE,33.9
producer,distance_1100,20009,1,a,1,-1,DONE,DONE,62.1
producer,distance_1100,20011,1,a,1,-1,DONE,DONE,57.8
producer,distance_1100,20013,1,a,1,-1,DONE,DONE,54.0
producer,distance_1100,20012,0,a,1,-1,DONE,DONE,76.8
producer,distance_1100,20015,1,a,1,-1,DONE,DONE,37.3
producer,distance_1100,20014,0,a,1,-1,DONE,DONE,39.4
producer,distance_1100,20018,0,a,1,-1,DONE,DONE,37.2
producer,distance_1100,20017,1,a,1,-1,DONE,DONE,36.9
producer,distance_1100,20016,0,a,1,-1,DONE,DONE,82.7
producer,distance_1100,20021,1,a,1,-1,DONE,DONE,35.0
producer,distance_1100,20020,0,a,1,-1,DONE,DONE,54.3
producer,distance_1100,20019,1,a,1,-1,DONE,DONE,78.3
producer,distance_1100,20022,0,a,1,-1,DONE,DONE,42.9
producer,distance_1100,20025,1,a,1,-1,DONE,DONE,46.7
producer,distance_1100,20024,0,a,1,-1,DONE,DONE,53.6
producer,distance_1100,20023,1,a,1,-1,DONE,DONE,70.3
producer,distance_1100,20026,0,a,1,-1,DONE,DONE,51.4
producer,distance_1100,20027,1,a,1,-1,DONE,DONE,44.4
producer,distance_1100,20029,1,a,1,-1,DONE,DONE,52.3
producer,distance_1100,20028,0,a,1,-1,DONE,DONE,55.3
producer,apex,20003,1,a,1,-1,DONE,DONE,73.9
producer,apex,20002,0,a,1,-1,DONE,DONE,109.5
producer,apex,20004,0,a,1,-1,DONE,DONE,94.2
producer,apex,20005,1,a,1,-1,DONE,DONE,106.3
producer,apex,20006,0,a,1,-1,DONE,DONE,81.6
producer,apex,20007,1,a,1,-1,DONE,DONE,119.9
producer,apex,20009,1,a,1,-1,DONE,DONE,97.3
producer,apex,20010,0,a,1,-1,DONE,DONE,65.7
producer,apex,20011,1,a,1,-1,DONE,DONE,88.2
producer,apex,20012,0,a,1,-1,DONE,DONE,83.0
producer,apex,20008,0,a,1,-1,DONE,DONE,188.6
producer,apex,20013,1,a,1,-1,DONE,DONE,97.9
producer,apex,20014,0,a,1,-1,DONE,DONE,115.0
producer,apex,20017,1,a,1,-1,DONE,DONE,103.6
producer,apex,20016,0,a,1,-1,DONE,DONE,113.1
producer,apex,20018,0,a,1,-1,DONE,DONE,80.0
producer,apex,20020,0,a,1,-1,DONE,DONE,91.6
producer,apex,20015,1,a,1,-1,DONE,DONE,236.0
producer,apex,20021,1,a,1,-1,DONE,DONE,90.6
producer,apex,20019,1,a,1,-1,DONE,DONE,147.4
producer,apex,20022,0,a,1,-1,DONE,DONE,89.7
producer,apex,20023,1,a,1,-1,DONE,DONE,113.9
producer,apex,20024,0,a,1,-1,DONE,DONE,96.9
producer,apex,20025,1,a,1,-1,DONE,DONE,106.0
producer,apex,20026,0,a,1,-1,DONE,DONE,106.2
producer,apex,20027,1,a,1,-1,DONE,DONE,94.9
producer,apex,20029,1,a,1,-1,DONE,DONE,67.0
producer,exit_v2_exit_embed256_last,20002,0,a,1,-1,DONE,DONE,32.7
producer,exit_v2_exit_embed256_last,20003,1,a,1,-1,DONE,DONE,27.0
producer,exit_v2_exit_embed256_last,20004,0,a,1,-1,DONE,DONE,22.8
producer,exit_v2_exit_embed256_last,20005,1,a,1,-1,DONE,DONE,23.7
producer,apex,20028,0,a,1,-1,DONE,DONE,118.4
producer,exit_v2_exit_embed256_last,20006,0,a,1,-1,DONE,DONE,27.3
producer,exit_v2_exit_embed256_last,20008,0,a,1,-1,DONE,DONE,18.1
producer,exit_v2_exit_embed256_last,20007,1,a,1,-1,DONE,DONE,22.2
producer,exit_v2_exit_embed256_last,20011,1,a,1,-1,DONE,DONE,21.3
producer,exit_v2_exit_embed256_last,20012,0,a,1,-1,DONE,DONE,17.6
producer,exit_v2_exit_embed256_last,20009,1,a,1,-1,DONE,DONE,29.4
producer,exit_v2_exit_embed256_last,20010,0,a,1,-1,DONE,DONE,51.6
producer,exit_v2_exit_embed256_last,20014,0,a,1,-1,DONE,DONE,22.4
producer,exit_v2_exit_embed256_last,20013,1,a,1,-1,DONE,DONE,18.8
producer,exit_v2_exit_embed256_last,20015,1,a,1,-1,DONE,DONE,26.4
producer,exit_v2_exit_embed256_last,20018,0,a,1,-1,DONE,DONE,24.0
producer,exit_v2_exit_embed256_last,20016,0,a,1,-1,DONE,DONE,21.9
producer,exit_v2_exit_embed256_last,20017,1,a,1,-1,DONE,DONE,33.0
producer,exit_v2_exit_embed256_last,20019,1,a,1,-1,DONE,DONE,27.9
producer,exit_v2_exit_embed256_last,20020,0,a,1,-1,DONE,DONE,24.6
producer,exit_v2_exit_embed256_last,20021,1,a,1,-1,DONE,DONE,28.0
producer,exit_v2_exit_embed256_last,20022,0,a,1,-1,DONE,DONE,24.2
producer,exit_v2_exit_embed256_last,20023,1,a,1,-1,DONE,DONE,21.1
producer,exit_v2_exit_embed256_last,20025,1,a,1,-1,DONE,DONE,19.6
producer,exit_v2_exit_embed256_last,20024,0,a,1,-1,DONE,DONE,28.4
producer,exit_v2_exit_embed256_last,20028,0,a,1,-1,DONE,DONE,20.3
producer,exit_v2_exit_embed256_last,20026,0,a,1,-1,DONE,DONE,21.5
producer,exit_v2_exit_embed256_last,20027,1,a,1,-1,DONE,DONE,28.3
ow_proto,enders_1000,20000,0,a,1,-1,DONE,DONE,7.2
ow_proto,enders_1000,20001,1,b,-1,1,DONE,DONE,8.3
ow_proto,enders_1000,20004,0,a,1,-1,DONE,DONE,6.5
ow_proto,enders_1000,20003,1,a,1,-1,DONE,DONE,8.3
producer,exit_v2_exit_embed256_last,20029,1,a,1,-1,DONE,DONE,21.8
ow_proto,enders_1000,20002,0,b,-1,1,DONE,DONE,6.5
ow_proto,enders_1000,20005,1,a,1,-1,DONE,DONE,9.1
ow_proto,enders_1000,20006,0,a,1,-1,DONE,DONE,5.9
ow_proto,enders_1000,20008,0,a,1,-1,DONE,DONE,7.0
ow_proto,enders_1000,20009,1,a,1,-1,DONE,DONE,7.5
ow_proto,enders_1000,20011,1,a,1,-1,DONE,DONE,9.5
ow_proto,enders_1000,20012,0,a,1,-1,DONE,DONE,9.6
ow_proto,enders_1000,20013,1,a,1,-1,DONE,DONE,7.9
ow_proto,enders_1000,20007,1,a,1,-1,DONE,DONE,10.0
ow_proto,enders_1000,20016,0,b,-1,1,DONE,DONE,2.2
ow_proto,enders_1000,20010,0,a,1,-1,DONE,DONE,10.6
ow_proto,enders_1000,20017,1,a,1,-1,DONE,DONE,8.5
ow_proto,enders_1000,20018,0,b,-1,1,DONE,DONE,5.1
ow_proto,enders_1000,20019,1,b,-1,1,DONE,DONE,4.9
ow_proto,enders_1000,20020,0,b,-1,1,DONE,DONE,3.8
ow_proto,enders_1000,20014,0,a,1,-1,DONE,DONE,8.6
ow_proto,enders_1000,20021,1,b,-1,1,DONE,DONE,11.0
ow_proto,enders_1000,20015,1,a,1,-1,DONE,DONE,11.0
ow_proto,enders_1000,20023,1,a,1,-1,DONE,DONE,10.6
ow_proto,enders_1000,20025,1,a,1,-1,DONE,DONE,9.3
ow_proto,enders_1000,20026,0,a,1,-1,DONE,DONE,10.1
ow_proto,enders_1000,20027,1,b,-1,1,DONE,DONE,3.3
ow_proto,enders_1000,20028,0,a,1,-1,DONE,DONE,3.3
ow_proto,enders_1000,20022,0,b,-1,1,DONE,DONE,5.6
ow_proto,enders_1000,20029,1,a,1,-1,DONE,DONE,13.3
ow_proto,enders_1000,20024,0,a,1,-1,DONE,DONE,4.8
ow_proto,tamrazov_1224,20003,1,a,1,-1,DONE,DONE,43.9
ow_proto,tamrazov_1224,20002,0,a,1,-1,DONE,DONE,72.6
ow_proto,tamrazov_1224,20000,0,a,1,-1,DONE,DONE,111.8
ow_proto,tamrazov_1224,20001,1,a,1,-1,DONE,DONE,90.3
ow_proto,tamrazov_1224,20004,0,a,1,-1,DONE,DONE,87.7
ow_proto,tamrazov_1224,20005,1,a,1,-1,DONE,DONE,94.0
ow_proto,tamrazov_1224,20009,1,a,1,-1,DONE,DONE,52.9
ow_proto,tamrazov_1224,20006,0,a,1,-1,DONE,DONE,130.5
ow_proto,tamrazov_1224,20007,1,a,1,-1,DONE,DONE,133.4
ow_proto,tamrazov_1224,20008,0,a,1,-1,DONE,DONE,109.4
ow_proto,tamrazov_1224,20012,0,a,1,-1,DONE,DONE,68.4
ow_proto,tamrazov_1224,20013,1,a,1,-1,DONE,DONE,87.4
ow_proto,tamrazov_1224,20011,1,a,1,-1,DONE,DONE,138.3
ow_proto,tamrazov_1224,20010,0,a,1,-1,DONE,DONE,137.1
ow_proto,tamrazov_1224,20014,0,a,1,-1,DONE,DONE,108.0
ow_proto,tamrazov_1224,20015,1,b,-1,1,DONE,DONE,41.5
ow_proto,tamrazov_1224,20017,1,b,-1,1,DONE,DONE,76.2
ow_proto,tamrazov_1224,20020,0,a,1,-1,DONE,DONE,18.4
ow_proto,tamrazov_1224,20018,0,a,1,-1,DONE,DONE,50.2
ow_proto,tamrazov_1224,20016,0,a,1,-1,DONE,DONE,97.3
ow_proto,tamrazov_1224,20019,1,a,1,-1,DONE,DONE,109.1
ow_proto,tamrazov_1224,20022,0,a,1,-1,DONE,DONE,73.7
ow_proto,tamrazov_1224,20023,1,b,-1,1,DONE,DONE,87.2
ow_proto,tamrazov_1224,20025,1,a,1,-1,DONE,DONE,33.1
ow_proto,tamrazov_1224,20021,1,a,1,-1,DONE,DONE,129.5
ow_proto,tamrazov_1224,20024,0,a,1,-1,DONE,DONE,70.3
ow_proto,tamrazov_1224,20026,0,b,-1,1,DONE,DONE,37.9
ow_proto,distance_1100,20000,0,a,1,-1,DONE,DONE,62.0
ow_proto,tamrazov_1224,20029,1,a,1,-1,DONE,DONE,81.4
ow_proto,tamrazov_1224,20028,0,a,1,-1,DONE,DONE,83.9
ow_proto,distance_1100,20001,1,a,1,-1,DONE,DONE,65.7
ow_proto,distance_1100,20002,0,a,1,-1,DONE,DONE,103.9
ow_proto,distance_1100,20004,0,a,1,-1,DONE,DONE,83.1
ow_proto,distance_1100,20003,1,a,1,-1,DONE,DONE,168.8
ow_proto,tamrazov_1224,20027,1,a,1,-1,DONE,DONE,285.4
ow_proto,distance_1100,20006,0,b,-1,1,DONE,DONE,63.6
ow_proto,distance_1100,20009,1,a,1,-1,DONE,DONE,38.4
ow_proto,distance_1100,20008,0,a,1,-1,DONE,DONE,67.7
ow_proto,distance_1100,20007,1,a,1,-1,DONE,DONE,134.8
ow_proto,distance_1100,20005,1,a,1,-1,DONE,DONE,236.5
ow_proto,distance_1100,20010,0,a,1,-1,DONE,DONE,98.2
ow_proto,distance_1100,20011,1,a,1,-1,DONE,DONE,124.6
ow_proto,distance_1100,20012,0,a,1,-1,DONE,DONE,154.1
ow_proto,distance_1100,20015,1,a,1,-1,DONE,DONE,88.3
ow_proto,distance_1100,20013,1,a,1,-1,DONE,DONE,144.5
ow_proto,distance_1100,20014,0,a,1,-1,DONE,DONE,121.9
ow_proto,distance_1100,20016,0,a,1,-1,DONE,DONE,124.8
ow_proto,distance_1100,20018,0,a,1,-1,DONE,DONE,110.7
ow_proto,distance_1100,20017,1,a,1,-1,DONE,DONE,131.2
ow_proto,distance_1100,20019,1,a,1,-1,DONE,DONE,110.4
ow_proto,distance_1100,20020,0,a,1,-1,DONE,DONE,36.1
ow_proto,distance_1100,20023,1,a,1,-1,DONE,DONE,96.6
ow_proto,distance_1100,20022,0,a,1,-1,DONE,DONE,106.8
ow_proto,distance_1100,20021,1,a,1,-1,DONE,DONE,123.6
ow_proto,distance_1100,20024,0,a,1,-1,DONE,DONE,146.8
ow_proto,distance_1100,20027,1,a,1,-1,DONE,DONE,101.0
ow_proto,distance_1100,20025,1,a,1,-1,DONE,DONE,139.8
ow_proto,distance_1100,20026,0,a,1,-1,DONE,DONE,134.7
ow_proto,distance_1100,20028,0,a,1,-1,DONE,DONE,121.5
ow_proto,distance_1100,20029,1,a,1,-1,DONE,DONE,70.3
ow_proto,apex,20005,1,a,1,-1,DONE,DONE,111.0
ow_proto,apex,20002,0,a,1,-1,DONE,DONE,190.2
ow_proto,apex,20003,1,a,1,-1,DONE,DONE,218.5
ow_proto,apex,20004,0,a,1,-1,DONE,DONE,182.2
ow_proto,apex,20007,1,a,1,-1,DONE,DONE,104.0
ow_proto,apex,20009,1,b,-1,1,DONE,DONE,100.9
ow_proto,apex,20006,0,a,1,-1,DONE,DONE,165.4
ow_proto,apex,20008,0,a,1,-1,DONE,DONE,151.1
ow_proto,apex,20010,0,a,1,-1,DONE,DONE,136.0
ow_proto,apex,20011,1,a,1,-1,DONE,DONE,126.2
ow_proto,apex,20013,1,a,1,-1,DONE,DONE,82.2
ow_proto,apex,20014,0,b,-1,1,DONE,DONE,44.8
ow_proto,apex,20012,0,a,1,-1,DONE,DONE,151.2
ow_proto,apex,20017,1,b,-1,1,DONE,DONE,92.8
ow_proto,apex,20018,0,b,-1,1,DONE,DONE,83.0
ow_proto,apex,20016,0,a,1,-1,DONE,DONE,125.2
ow_proto,apex,20015,1,a,1,-1,DONE,DONE,151.4
ow_proto,apex,20019,1,b,-1,1,DONE,DONE,77.7
ow_proto,apex,20021,1,b,-1,1,DONE,DONE,79.8
ow_proto,apex,20020,0,a,1,-1,DONE,DONE,102.7
ow_proto,apex,20022,0,a,1,-1,DONE,DONE,152.0
ow_proto,apex,20025,1,b,-1,1,DONE,DONE,74.0
ow_proto,apex,20024,0,a,1,-1,DONE,DONE,128.9
ow_proto,apex,20027,1,a,1,-1,DONE,DONE,107.5
ow_proto,apex,20023,1,a,1,-1,DONE,DONE,295.3
ow_proto,apex,20028,0,a,1,-1,DONE,DONE,140.0
ow_proto,apex,20026,0,a,1,-1,DONE,DONE,216.0
ow_proto,apex,20029,1,a,1,-1,DONE,DONE,99.6
ow_proto,exit_v2_exit_embed256_last,20003,1,a,1,-1,DONE,DONE,82.3
ow_proto,exit_v2_exit_embed256_last,20005,1,a,1,-1,DONE,DONE,60.1
ow_proto,exit_v2_exit_embed256_last,20006,0,a,1,-1,DONE,DONE,46.6
ow_proto,exit_v2_exit_embed256_last,20002,0,a,1,-1,DONE,DONE,145.1
ow_proto,exit_v2_exit_embed256_last,20008,0,a,1,-1,DONE,DONE,34.9
